year,date,team,opponent,win,srs,win/loss,Exp,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
2023,2023-03-16,Alabama,Texas A&M-Corpus Christi,0.147,25.76,1,-0.24,-1.6,5.6,-2.6,-0.9,1.9,1.2,-0.046,-0.041
2023,2023-03-18,Alabama,Maryland,0.217,8.61,1,-0.18,8.5,8.7,4.4,3.1,3.2,-1.5,-0.020,-0.017
2023,2023-03-24,Alabama,San Diego State,0.040,7.38,0,-0.50,7.7,8.6,4.6,2.3,3.5,-0.5,-0.012,-0.007
2023,2023-03-16,Arizona,Princeton,0.099,14.32,0,0.02,4.5,4.5,5.2,1.3,1.2,-1.6,0.016,0.019
2023,2023-03-17,Arizona State,Texas Christian,0.021,-4.32,0,0.30,-2.3,0.6,0.1,0.2,-0.1,0.8,-0.014,0.023
2023,2023-03-16,Arkansas,Illinois,-0.019,1.18,1,0.33,0.3,1.1,1.4,1.1,1.5,-0.6,0.010,-0.009
2023,2023-03-18,Arkansas,Kansas,-0.188,-3.21,1,0.07,-0.8,0.1,0.7,1.1,1.1,-0.3,0.000,-0.017
2023,2023-03-23,Arkansas,Connecticut,-0.152,-6.96,0,0.02,-0.3,4.5,3.7,2.8,3.1,-0.8,-0.003,-0.018
2023,2023-03-16,Auburn,Iowa,0.031,0.27,1,0.50,-7.2,-2.8,-3.7,-2.5,-2.7,-1.3,-0.038,-0.052
2023,2023-03-18,Auburn,Houston,-0.287,-7.85,0,0.42,4.1,7.4,7.1,6.3,6.4,-0.8,0.005,-0.008
2023,2023-03-17,Baylor,California Santa Barbara,-0.107,14.00,1,0.21,4.8,4.1,3.5,3.0,2.3,-1.0,0.004,0.000
2023,2023-03-19,Baylor,Creighton,0.051,-0.53,0,0.70,1.3,1.3,2.1,1.3,0.8,-2.2,0.024,0.002
2023,2023-03-16,Boise State,Northwestern,0.071,-0.90,0,0.02,3.1,1.2,-0.2,1.2,0.7,0.3,0.014,0.007
2023,2023-03-17,California Santa Barbara,Baylor,0.107,-14.00,0,-0.21,-4.8,-2.2,-2.8,-2.1,-2.4,1.0,-0.004,0.000
2023,2023-03-16,Colgate,Texas,0.000,-18.36,0,0.42,0.8,0.4,4.3,1.4,0.6,2.4,0.023,0.046
2023,2023-03-16,College of Charleston,San Diego State,0.099,-7.41,0,-0.59,6.3,5.9,3.4,2.5,1.9,-0.6,0.007,0.003
2023,2023-03-17,Connecticut,Iona,-0.037,15.34,1,-0.35,0.5,1.5,1.9,-0.3,0.3,-0.3,0.011,0.000
2023,2023-03-19,Connecticut,Saint Mary's (CA),-0.030,5.54,1,0.01,5.9,7.3,6.8,2.8,2.6,-1.2,0.005,-0.018
2023,2023-03-23,Connecticut,Arkansas,0.152,6.96,1,-0.02,0.3,1.2,1.6,-2.1,-0.9,0.8,0.003,0.018
2023,2023-03-25,Connecticut,Gonzaga,-0.091,3.96,1,-0.44,-8.4,-0.8,-2.1,-4.1,-3.4,-0.8,-0.036,-0.034
2023,2023-04-01,Connecticut,Miami (FL),-0.024,8.97,1,-0.19,-4.2,-0.3,-2.5,-3.7,-3.2,-0.9,-0.025,-0.022
