year,date,team,opponent,win,srs,outcome,PTS,REB,AST,STL,BLK,TOV,TS%,3P%,,,N,O,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
2023,2023-03-16,Alabama,Texas A&M-Corpus Christi,0.147,25.76,W,-1.6,5.6,-2.6,-0.9,1.9,1.2,-0.046,-0.041,2023,Alabama,2.63,Team,37,40.8,27.6,62.5,0.442,18,33,0.538,9.9,29.5,0.335,16.6,22.9,0.725,13.1,31.6,44.6,15,6.1,5.1,13.8,18.7,81.8,Opponent,37,40.8,23.9,64.5,0.371,18.5,45.2,0.408,5.5,19.3,0.283,15,21.1,0.711,12.2,25.2,37.4,9.8,7.2,3.8,11.7,19.9,68.3,0.564,0.463
2023,2023-03-18,Alabama,Maryland,0.217,8.61,W,8.5,8.7,4.4,3.1,3.2,-1.5,-0.020,-0.017,2023,Arizona,2.56,Team,35,40,29.2,59.2,0.494,20.8,36.9,0.564,8.4,22.3,0.378,15,21.2,0.708,10.2,29.1,39.3,18.9,6.1,3.1,13.4,16.9,81.9,Opponent,35,40,25.9,63.3,0.408,17.9,38.8,0.462,7.9,24.5,0.323,11.5,16.1,0.713,10.3,22.9,33.2,12.7,7.9,3.5,12.3,19.2,71.1,0.598,0.505
2023,2023-03-24,Alabama,San Diego State,0.040,7.38,L,7.7,8.6,4.6,2.3,3.5,-0.5,-0.012,-0.007,2023,Arizona State,2.83,Team,36,40.4,25.3,60.1,0.421,17.7,36.4,0.485,7.6,23.6,0.322,12.9,18.8,0.689,11,25.6,36.5,14.3,7.1,4.7,11.7,18.6,71.1,Opponent,36,40.4,23.2,58.2,0.399,15.5,35.5,0.436,7.8,22.7,0.341,13.8,19.5,0.707,11.8,26.6,38.4,12.7,6.1,3,14,18.1,68,0.520,0.509
2023,2023-03-16,Arizona,Princeton,0.099,14.32,L,4.5,4.5,5.2,1.3,1.2,-1.6,0.016,0.019,2023,Arkansas,2.33,Team,36,40.1,26.7,57.3,0.466,21.7,41.4,0.524,5,15.9,0.313,15.7,22.5,0.698,10.4,25,35.3,12.8,8.4,5.1,12.7,19.3,74.1,Opponent,36,40.1,23.5,55.4,0.424,18.3,38.6,0.474,5.3,16.9,0.311,15.6,21.9,0.714,9.7,23.4,33,10.6,6.7,2.9,14.4,18.9,67.9,0.551,0.522
2023,2023-03-17,Arizona State,Texas Christian,0.021,-4.32,L,-2.3,0.6,0.1,0.2,-0.1,0.8,-0.014,0.023,2023,Auburn,3.00,Team,34,40.1,25.7,58.6,0.439,19.2,37.9,0.507,6.5,20.6,0.315,14.8,21.3,0.696,11.6,24.6,36.2,14.1,7.7,5.1,12.2,19.3,72.8,Opponent,34,40.1,23.2,56.9,0.407,17.5,37.3,0.47,5.6,19.6,0.288,15.7,22.1,0.71,11.8,23.8,35.6,11.2,7,3.5,13,17.9,67.7,0.536,0.508
2023,2023-03-16,Arkansas,Illinois,-0.019,1.18,W,0.3,1.1,1.4,1.1,1.5,-0.6,0.010,-0.009,2023,Baylor,2.86,Team,34,40.1,25.9,57.6,0.45,16.4,31.7,0.516,9.5,25.8,0.368,15.8,21.2,0.744,11.5,22.5,34,14.2,6.6,2.4,12.1,17.4,77,Opponent,34,40.1,25.4,55.9,0.454,18.5,34.8,0.533,6.9,21.2,0.325,12.6,17.5,0.718,10,21.9,31.9,15.2,6.1,2.9,13.5,18.4,70.3,0.575,0.553
2023,2023-03-18,Arkansas,Kansas,-0.188,-3.21,W,-0.8,0.1,0.7,1.1,1.1,-0.3,0.000,-0.017,2023,Boise State,2.77,Team,34,40.4,25.8,57,0.453,18,35.4,0.509,7.8,21.6,0.362,12.6,17.3,0.733,9,26.7,35.7,11.3,5,2.9,11.1,16.3,72.1,Opponent,34,40.4,23.6,56.9,0.415,17,35.8,0.476,6.6,21.1,0.311,10.9,15.5,0.703,8.4,23.9,32.2,10.7,5.2,3.2,11.8,16.7,64.6,0.558,0.507
2023,2023-03-23,Arkansas,Connecticut,-0.152,-6.96,L,-0.3,4.5,3.7,2.8,3.1,-0.8,-0.003,-0.018,2023,California Santa Barbara,2.65,Team,35,40.1,26.4,53.6,0.493,20.9,37.7,0.553,5.5,15.9,0.35,13.4,18.4,0.727,8,23.8,31.8,14.1,6.3,2.5,11.3,16.1,71.7,Opponent,35,40.1,24.1,54.3,0.444,18.3,37.2,0.49,5.9,17.1,0.344,11.7,15.6,0.749,8.3,21.9,30.2,11.7,4.9,2.3,12.3,17.7,65.9,0.581,0.539
2023,2023-03-16,Auburn,Iowa,0.031,0.27,W,-7.2,-2.8,-3.7,-2.5,-2.7,-1.3,-0.038,-0.052,2023,Colgate,3.00,Team,35,40,29.8,58.2,0.511,21.6,38,0.569,8.2,20.3,0.403,10.4,15.7,0.661,8,25.7,33.7,18.2,7.1,2.9,10.2,12.5,78.1,Opponent,35,40,26.8,58.7,0.456,19.1,37.2,0.512,7.7,21.5,0.359,8.1,11.7,0.688,8.2,23.3,31.5,14.6,6,3.1,12.3,14.7,69.3,0.600,0.543
2023,2023-03-18,Auburn,Houston,-0.287,-7.85,L,4.1,7.4,7.1,6.3,6.4,-0.8,0.005,-0.008,2023,College of Charleston,2.53,Team,35,40.3,27.4,62.9,0.436,17.5,32.9,0.531,9.9,30,0.331,15.4,20.7,0.744,13.5,26.8,40.3,13.7,7.4,3.1,11.9,16.9,80.1,Opponent,35,40.3,25.7,59.6,0.431,19.8,40.4,0.491,5.9,19.2,0.306,10,14.8,0.677,9.1,24.9,34,11.7,5.6,3.7,13.8,18.3,67.2,0.556,0.508
